Season,Team,AVG,OBP,SLG,OPS,wOBA,R
2019,PHI,0.245736851,0.31940874,0.426673846,0.746082586,0.314408777,774
2006,ARI,0.266784765,0.331312809,0.423914968,0.755227777,0.325838424,773
2009,CLE,0.263649425,0.339277185,0.416846264,0.756123449,0.333137282,773
2014,LAA,0.259023354,0.322147651,0.406050955,0.728198606,0.320699612,773
2005,OAK,0.262306735,0.33008312,0.407144126,0.737227246,0.323145598,772
2009,FLA,0.267946877,0.340275552,0.415649676,0.755925228,0.331781478,772
2010,PHI,0.259989249,0.331999359,0.41336678,0.745366139,0.326579092,772
2006,OAK,0.259818181,0.340313299,0.411636363,0.751949662,0.328499177,771
2018,WSN,0.254123617,0.334880742,0.41852456,0.753405302,0.325290948,771
2008,FLA,0.25404619,0.326295273,0.432624113,0.758919386,0.330064444,770
2010,COL,0.262567811,0.33564181,0.42477396,0.76041577,0.333093375,770
2017,LAD,0.249075443,0.334469881,0.436760355,0.771230236,0.329633584,770
2005,ATL,0.264855997,0.332515136,0.435107546,0.767622682,0.331384372,769
2019,LAA,0.246842295,0.32403399,0.421869361,0.745903351,0.316454136,769
2019,CLE,0.249585253,0.323307034,0.432258064,0.755565098,0.318972174,769
2019,TBR,0.25355366,0.32531464,0.431236673,0.756551313,0.320610002,769
2019,MIL,0.246481414,0.329087724,0.438289426,0.76737715,0.323832492,769
2003,OAK,0.254320538,0.326520681,0.416772785,0.743293466,0.322267026,768
2004,SDP,0.272923021,0.342277591,0.413780728,0.756058319,0.32896755,768
2006,BAL,0.277361853,0.339303,0.423529411,0.762832411,0.331127721,768
2016,SEA,0.259000537,0.326346339,0.42987641,0.756222749,0.325282099,768
2012,LAA,0.274205202,0.331631812,0.432803468,0.76443528,0.331307949,767
2013,OAK,0.25412063,0.32659987,0.418764716,0.745364586,0.32680813,767
2006,LAA,0.274380459,0.333925686,0.424852914,0.7587786,0.3271964,766
2008,LAA,0.268231046,0.329740323,0.412815884,0.742556207,0.324499005,765
2012,STL,0.271433653,0.337541953,0.421024546,0.758566499,0.329182925,765
2016,TEX,0.261719457,0.321528578,0.433303167,0.754831745,0.32400149,765
2015,NYY,0.250943057,0.32285989,0.420873001,0.743732891,0.322968407,764
2019,STL,0.245182602,0.322122448,0.414755,0.736877448,0.314115105,764
2016,WSN,0.255555555,0.32553226,0.425865209,0.751397469,0.321604773,763
2011,STL,0.273499638,0.340857421,0.424981923,0.765839344,0.334308628,762
2004,LAD,0.261638397,0.331659919,0.423132443,0.754792362,0.327209735,761
